license_plate_text,speed_kmh
PB110GOHU),6.324555320336759
PB110Goj0g,45.5411901469428
PBLODGOpog,34.92849839314596
PB110Gozog,42.01190307520001
PB110GOzoO,14.142135623730953
PB110gozog,6.082762530298219
PB110GOjog,5.385164807134504
PB11DGOJOg,7.0710678118654755
PB110g0jog,6.4031242374328485
PB1106Oj0g,11.180339887498947
PB110G0JOO,13.152946437965904
PB110G0J00,3.1622776601683795
PB110gojog,49.09175083453431
PB110gO2od,11.40175425099138
PBLTDG020g,36.68787265568828
PB11DGOJOQ,6.082762530298219
PB11DGOJOO,5.0990195135927845
PB110GOJOQ,4.242640687119285
PB110g0j00,6.082762530298219
PB1106OJ0g,11.40175425099138
PB11D6OJ0g,14.0356688476182
PB110GOJog,17.72004514666935
PB11D60j00,22.80350850198276
PB110G0J0g,4.47213595499958
PB110G0200,1.4142135623730951
PB11060J0O,8.54400374531753
PB11DGO2og,6.082762530298219
PB11060J0Q,2.23606797749979
PB11D60300,6.708203932499369
PB1106030g,8.54400374531753
PB11DG0300,10.63014581273465
PB11060j0g,19.4164878389476
PB11DGOJ0g,7.211102550927978
PB11DGOJ00,7.615773105863909
PB11060J00,7.280109889280518
PB11060j00,6.0
PB11D60J0g,7.280109889280518
PB11D60j0g,2.0
PB11060200,12.041594578792296
PB11D60J00,10.198039027185567
PB11060J0g,1.0
PB11060300,6.082762530298219
