frame,car_id,bbox,license_plate_bbox,license_plate_text,speed_kmh
74,6.0,"[1050.1288177225379, 1272.8503940437752, 1682.612733641684, 1774.1794309916029]","[1274.2586669921875, 1586.02587890625, 1476.802734375, 1667.548828125]",,72.08839416243846
75,6.0,"[1049.242254383472, 1277.4355312397036, 1682.2541759984422, 1779.5236091005502]","[1273.185546875, 1594.10498046875, 1448.7454833984375, 1669.4737548828125]",,54.03822621470727
76,6.0,"[1046.2797177438833, 1279.058835804195, 1685.6385986082519, 1782.6676654008788]","[1260.3277587890625, 1595.6986083984375, 1446.4696044921875, 1680.760986328125]",,25.844355650960185
77,6.0,"[1043.3260312307593, 1282.2461195578062, 1687.0488042016873, 1789.9151840265372]","[1270.855224609375, 1593.8323974609375, 1455.7777099609375, 1683.1864013671875]",,56.961025067309905
78,6.0,"[1038.2780727119273, 1287.0771683169771, 1682.807101040564, 1798.488554122873]","[1262.509765625, 1608.5654296875, 1436.585205078125, 1695.42041015625]",,88.06740436683734
78,1.0,"[2059.862708641778, 1039.1677671786176, 2525.084824301737, 1451.5068226096726]","[2190.81591796875, 1277.7972412109375, 2314.214599609375, 1357.775146484375]",,
79,6.0,"[1035.5630452893442, 1291.4252174417106, 1684.9344328703564, 1804.5625075337048]","[1262.4012451171875, 1607.1983642578125, 1458.802734375, 1695.5401611328125]",,56.36822091875984
80,6.0,"[1029.3994085263957, 1297.0349781258496, 1682.8500331035916, 1810.6453751963127]","[1261.7398681640625, 1626.8250732421875, 1430.3507080078125, 1704.8565673828125]",GX15OGJ,77.26863457800009
81,6.0,"[1023.3394198710541, 1304.3180288728831, 1681.449012123667, 1819.5342514780496]","[1242.923583984375, 1625.422607421875, 1447.9412841796875, 1713.6951904296875]",,96.17427115199311
81,6.0,"[1023.3394198710541, 1304.3180288728831, 1681.449012123667, 1819.5342514780496]","[1238.13916015625, 1617.3848876953125, 1418.9825439453125, 1704.4940185546875]",,0.0
82,6.0,"[1017.226516160158, 1308.0690223928125, 1678.7973146823392, 1825.2560720836548]","[1248.878173828125, 1633.0460205078125, 1443.1917724609375, 1717.5858154296875]",,69.68980681671125
83,6.0,"[1014.2729192369901, 1315.1635555535597, 1681.5582790110752, 1836.0328611815237]","[1234.6396484375, 1637.2156982421875, 1431.118408203125, 1718.6661376953125]",,96.51074620838183
84,6.0,"[1009.4218962039035, 1323.019431734161, 1682.211444276375, 1846.405990879084]","[1228.509521484375, 1641.9595947265625, 1437.0076904296875, 1729.278564453125]",,101.01301042745368
85,6.0,"[1005.4641505030448, 1328.0433675365794, 1681.3863781760301, 1853.5818791065626]","[1232.4412841796875, 1643.2210693359375, 1404.755615234375, 1730.0723876953125]",,70.76081271942286
86,6.0,"[1002.1269592044215, 1330.3467126903995, 1683.176421727641, 1857.780054271748]","[1236.6981201171875, 1651.6710205078125, 1438.1500244140625, 1744.2850341796875]",,36.08858122583718
87,6.0,"[997.2188406252569, 1333.7637154458675, 1683.459801938133, 1864.776581918838]","[1244.54296875, 1669.541748046875, 1435.1414794921875, 1753.154296875]",,61.52916027018612
88,6.0,"[995.4760229876316, 1335.0555951044485, 1684.1471887028324, 1869.9611316596388]","[1245.9283447265625, 1672.8526611328125, 1438.31884765625, 1756.2293701171875]",,35.434070923662716
89,6.0,"[994.1481923148447, 1339.8232703506028, 1685.0884304968797, 1874.6135012598188]","[1237.0535888671875, 1681.8453369140625, 1433.716552734375, 1765.9361572265625]",,50.911060208114364
90,6.0,"[994.4153869154638, 1348.5561176985757, 1686.6831820971074, 1885.602420674124]","[1229.110107421875, 1685.361083984375, 1427.8165283203125, 1772.9664306640625]",GX15OGJ,106.9711143112789
91,6.0,"[993.0580552985987, 1353.5354742447817, 1686.3435949984298, 1893.1365871131934]","[1231.16357421875, 1692.324462890625, 1435.7938232421875, 1782.9276123046875]",,68.19150075174967
92,6.0,"[985.5025589263311, 1361.2698057290452, 1685.6881320642628, 1901.1565476894596]","[1224.4593505859375, 1692.90966796875, 1398.9228515625, 1781.025146484375]",GX15OGJ,95.9343961888598
93,6.0,"[979.0732009462708, 1366.1686139280184, 1685.3070822022473, 1907.39515043933]","[1227.277587890625, 1701.4124755859375, 1435.8680419921875, 1794.305908203125]",GX15OGJ,70.49504609094964
94,6.0,"[976.5981934571254, 1367.5754237068325, 1686.8700891449485, 1910.328798951388]","[1226.1116943359375, 1710.541748046875, 1412.11279296875, 1793.1065673828125]",,23.950277319508185
95,6.0,"[971.5249306800026, 1371.8433928552045, 1684.3359246295092, 1919.0182208729138]","[1223.6357421875, 1716.8431396484375, 1426.3551025390625, 1802.43212890625]",,81.13793056568944
96,6.0,"[969.2307394694494, 1379.2353042346292, 1683.2806447615826, 1929.0708317398055]","[1217.3697509765625, 1728.62841796875, 1433.4193115234375, 1813.4520263671875]",GX15OGJ,95.92113387774081
97,6.0,"[964.6503105176145, 1383.169251449206, 1681.8381951291503, 1936.3738119070163]","[1214.8228759765625, 1732.3773193359375, 1426.682861328125, 1813.5355224609375]",,68.84599825592872
98,6.0,"[961.8554705498824, 1391.3426315863917, 1681.1484823842284, 1946.3739035596345]","[1220.805908203125, 1741.981689453125, 1421.3272705078125, 1827.442138671875]",GX15OCJ,99.92439692127314
99,6.0,"[957.1100263500998, 1399.151393030299, 1679.4339021928809, 1957.7362868619816]","[1206.2359619140625, 1747.2271728515625, 1365.6258544921875, 1832.4598388671875]",,109.24357568031942
99,6.0,"[957.1100263500998, 1399.151393030299, 1679.4339021928809, 1957.7362868619816]","[1207.9146728515625, 1751.7213134765625, 1425.743896484375, 1838.0093994140625]",GX15OCJ,0.0
100,6.0,"[955.2608932423834, 1406.4125858780142, 1676.8353653682527, 1964.2110533724233]","[1198.587158203125, 1746.281982421875, 1422.23583984375, 1836.5302734375]",GX15OCJ,77.965668134988
101,6.0,"[951.3851294625838, 1411.6507472397973, 1676.8850796866814, 1972.5208797013477]","[1199.7000732421875, 1765.9222412109375, 1414.22021484375, 1848.3643798828125]",,76.02053659042333
102,6.0,"[946.8543339778303, 1418.1360787888939, 1675.0001424090956, 1980.5133702521657]","[1209.3094482421875, 1773.0977783203125, 1410.6690673828125, 1856.2056884765625]",GX15OCJ,85.51270585674928
103,6.0,"[946.1561339888401, 1424.6846870955546, 1673.7439609951073, 1988.6862402019742]","[1201.67333984375, 1781.0570068359375, 1343.0377197265625, 1857.8162841796875]",,80.19345969336895
103,6.0,"[946.1561339888401, 1424.6846870955546, 1673.7439609951073, 1988.6862402019742]","[1209.9383544921875, 1785.591796875, 1409.098876953125, 1857.3046875]",,0.0
104,6.0,"[945.6047851446733, 1430.991234701545, 1672.6938135337732, 1996.8552202998173]","[1198.1231689453125, 1784.9825439453125, 1375.505859375, 1872.4036865234375]",,78.64478367790106
104,1.0,"[2054.0251746443505, 1107.4876222343144, 2558.540116689536, 1550.0300527326528]","[2224.28173828125, 1371.1563720703125, 2428.88525390625, 1464.13623046875]",AP05JEQ,913.2125769869078
105,6.0,"[944.3860101313464, 1438.1065540315453, 1671.8769445992873, 2004.617171359323]","[1187.42724609375, 1791.0032958984375, 1369.26123046875, 1877.2445068359375]",,81.08581823291568
106,6.0,"[944.7375260961991, 1442.6666012668375, 1672.9291763147685, 2010.0377754304745]","[1180.6923828125, 1792.424560546875, 1385.7886962890625, 1885.26708984375]",,54.42597503732018
107,6.0,"[939.5171172121889, 1450.5823224354288, 1670.7035647838673, 2019.555696696519]","[1193.6934814453125, 1808.0621337890625, 1390.4886474609375, 1894.5450439453125]",,102.36883395619705
108,6.0,"[935.036201391135, 1459.3441447715495, 1668.5122292739425, 2031.298065922765]","[1192.3271484375, 1817.8433837890625, 1395.184814453125, 1903.7110595703125]",,116.43742527023525
109,6.0,"[929.8466452731393, 1463.239302200734, 1664.9875003588775, 2038.830123635138]","[1168.4615478515625, 1820.630126953125, 1394.80908203125, 1913.483642578125]",,77.60234196119175
110,6.0,"[927.6148708230205, 1469.4652298874673, 1664.046957982663, 2047.766133199845]","[1181.051513671875, 1831.5238037109375, 1385.91357421875, 1925.4085693359375]",,83.64736572227626
110,1.0,"[2055.0568895697993, 1126.7037336258145, 2564.1441481107436, 1573.133250709895]","[2225.05517578125, 1400.100341796875, 2424.599853515625, 1486.224365234375]",AP05JEO,231.31655433131903
111,6.0,"[925.9899875600674, 1477.4403825070783, 1661.78750144539, 2057.25122523578]","[1181.3240966796875, 1839.2581787109375, 1380.94970703125, 1931.2928466796875]",,96.59032380418815
111,1.0,"[2053.6744512034998, 1129.126721945581, 2565.4695788172844, 1576.5190807414294]","[2213.90478515625, 1402.5787353515625, 2359.862060546875, 1483.1986083984375]",,31.369129636007443
112,6.0,"[924.5871156980475, 1483.0916553907791, 1662.1378455589415, 2064.0570677215474]","[1164.18017578125, 1840.364501953125, 1385.2529296875, 1935.447509765625]",,67.50810771881129
113,6.0,"[919.8487787790508, 1491.033300300452, 1658.689669892859, 2075.347071912608]","[1168.127197265625, 1861.5787353515625, 1384.998046875, 1944.3533935546875]",GX15OCJ,112.86843756433025
114,6.0,"[911.26187670641, 1498.2881914726058, 1657.4470547611622, 2087.141269739885]","[1161.275146484375, 1866.4010009765625, 1381.6572265625, 1962.3035888671875]",,115.75252376172232
115,6.0,"[905.7170797994216, 1503.8950963331156, 1656.659828784539, 2095.1626125101047]","[1160.0126953125, 1871.0892333984375, 1383.16259765625, 1963.3238525390625]",,81.14812107975082
115,1.0,"[2053.897454850592, 1140.2343508648576, 2577.3759544601116, 1591.5142870878055]","[2223.23583984375, 1426.1829833984375, 2428.201171875, 1512.7039794921875]",AF05JEO,155.42995995370285
116,6.0,"[900.1914647145754, 1510.1643126541012, 1654.248997337646, 2101.5614141458946]","[1155.6259765625, 1882.97314453125, 1381.6820068359375, 1974.2783203125]",,80.72338292357934
116,1.0,"[2054.989322542936, 1142.120977584345, 2580.685048590126, 1595.9685571816544]","[2224.95556640625, 1425.0340576171875, 2433.66064453125, 1511.080078125]",AF05JEO,41.67996825088993
117,6.0,"[896.6283214838347, 1517.9121968597947, 1652.2410579967902, 2109.013199666679]","[1147.5897216796875, 1888.5208740234375, 1381.9742431640625, 1984.7772216796875]",,87.41779802147502
118,6.0,"[894.1757732626952, 1522.9921712744238, 1651.8247603693808, 2112.613228386096]","[1152.24951171875, 1890.2655029296875, 1331.5262451171875, 1982.0050048828125]",,49.365786060076466
118,8.0,"[1146.2703129844451, 1074.5324966111834, 1620.613653082449, 1488.5423862358239]","[1300.2012939453125, 1306.19580078125, 1459.951171875, 1387.9088134765625]",KH05ZTN,
119,6.0,"[892.0041153797354, 1529.0342097535379, 1652.2633766886572, 2116.757459304694]","[1151.6510009765625, 1909.2528076171875, 1368.484130859375, 1999.256103515625]",,55.79627375184571
120,6.0,"[883.1740819497052, 1536.1904050824467, 1649.829943253905, 2123.615393985994]","[1146.30078125, 1914.317138671875, 1373.9697265625, 2010.7353515625]",,97.0891656729899
120,1.0,"[2052.6662877471467, 1161.0215524468326, 2586.8989782522053, 1620.1632035991852]","[2234.768310546875, 1441.1099853515625, 2435.72900390625, 1535.88427734375]",,233.66076176071914
121,6.0,"[876.792341580598, 1542.7036190320362, 1648.4437309258083, 2130.756134881988]","[1143.736083984375, 1920.30517578125, 1376.8848876953125, 2014.4342041015625]",GY15OCJ,84.82840939467305
121,1.0,"[2051.0273996795054, 1162.922859570499, 2587.868765788737, 1625.2962537434605]","[2219.5244140625, 1444.1788330078125, 2435.157470703125, 1534.49560546875]",AF05JEO,38.15698145229102
122,6.0,"[872.7546133698781, 1551.2472451187953, 1647.464251555083, 2140.363365415753]","[1139.357421875, 1932.1124267578125, 1363.520263671875, 2021.3514404296875]",GY15OCJ,101.69018254544324
122,1.0,"[2051.0155394301273, 1166.5920905177504, 2590.034458671098, 1631.2107416900963]","[2216.291259765625, 1448.726806640625, 2431.114990234375, 1536.440185546875]",AP05JEQ,53.04291742208638
122,1.0,"[2051.0155394301273, 1166.5920905177504, 2590.034458671098, 1631.2107416900963]","[2215.9658203125, 1446.052001953125, 2371.25244140625, 1532.0244140625]",,0.0
123,6.0,"[868.0027212353293, 1558.4851827763594, 1646.1885613882696, 2147.2428971923246]","[1126.1781005859375, 1939.98828125, 1332.188720703125, 2027.4185791015625]",GX15OGJ,82.8921444272025
123,1.0,"[2046.0626667372403, 1172.1894577601997, 2589.3761137709903, 1637.2240173551163]","[2236.782470703125, 1466.767578125, 2438.513427734375, 1556.249755859375]",AF05JEO,69.63546368824208
123,8.0,"[1134.4206214640594, 1088.7585940592905, 1617.7462076801894, 1508.2197307421263]","[1284.5723876953125, 1320.32666015625, 1445.6597900390625, 1413.161865234375]",,199.58370016213823
124,6.0,"[865.0536093758442, 1563.0951222484955, 1645.1810908919215, 2150.5966677037095]","[1135.6563720703125, 1946.750732421875, 1345.30224609375, 2036.55810546875]",GY15UGJ,48.01909447153203
124,1.0,"[2042.8821548555834, 1175.7833151123352, 2589.82066126445, 1641.3477271736244]","[2229.05712890625, 1463.0870361328125, 2431.675048828125, 1549.9947509765625]",AF05JEQ,44.216189296526096
124,8.0,"[1132.5250303735634, 1090.690283624611, 1617.4183204908209, 1511.4234012407976]","[1286.4090576171875, 1321.376220703125, 1444.279541015625, 1408.3177490234375]",,30.21867146934054
125,6.0,"[862.8778036370508, 1570.1053245055743, 1645.6338011675462, 2153.766838718121]","[1138.798828125, 1959.6060791015625, 1350.710205078125, 2052.628662109375]",GY15OGJ,55.755897706051556
126,6.0,"[857.1335963034637, 1581.0038109164443, 1644.8516332323923, 2156.982731472904]","[1125.6273193359375, 1972.3602294921875, 1339.426025390625, 2070.005859375]",GY15OGJ,83.97117607708014
126,1.0,"[2048.208167656032, 1186.3125147691298, 2594.831598496404, 1652.2105285495209]","[2222.48974609375, 1467.27294921875, 2447.348876953125, 1559.208740234375]",AP05JEO,128.29634569839064
127,6.0,"[851.6798523955183, 1588.0274948050449, 1642.703145881658, 2157.1206044661926]","[1122.700927734375, 1979.662841796875, 1340.1895751953125, 2071.9453125]",GY15OGJ,56.39881014826258
127,1.0,"[2048.974110742628, 1188.3232273766894, 2596.6412503384245, 1655.148664486168]","[2223.6796875, 1470.5833740234375, 2446.93359375, 1557.8514404296875]",,30.12638229075179
128,6.0,"[846.3028663914652, 1595.8054624343215, 1641.552980488132, 2157.2294035714476]","[1107.686279296875, 1982.2108154296875, 1334.524658203125, 2079.627197265625]",GX15OGJ,55.28207502478207
128,8.0,"[1122.7689759699008, 1097.1815789677921, 1616.8182280366038, 1526.2697854068479]","[1286.47412109375, 1343.5712890625, 1437.66650390625, 1420.08984375]",,128.07752108770458
129,6.0,"[839.814285523136, 1601.5294572894175, 1639.1262764709502, 2155.4470802879828]","[1113.3709716796875, 1996.66748046875, 1339.9566650390625, 2089.742919921875]",GX15OGJ,52.63797445175311
130,6.0,"[834.3938072947907, 1609.2395330896638, 1638.7897079085865, 2155.572951083685]","[1118.23876953125, 2012.2119140625, 1321.7923583984375, 2098.73291015625]",GY15OGJ,52.50667634532624
130,34.0,"[2244.135497588511, 1623.0815662971381, 2978.92469112744, 2152.3786947856315]","[2513.132568359375, 1986.6822509765625, 2728.450927734375, 2086.21826171875]",LM13VCV,
131,6.0,"[830.1701093207962, 1614.6044673557267, 1635.5483309347464, 2154.9841054399544]","[1103.7359619140625, 2019.9873046875, 1333.895263671875, 2114.493896484375]",,47.85581226236235
131,34.0,"[2244.2612783584073, 1629.8109657948871, 2983.3766740948768, 2151.6933930158366]","[2505.326904296875, 1998.4310302734375, 2729.99072265625, 2094.269775390625]",LM13VCV,40.94291188137345
132,6.0,"[831.9824755981061, 1624.0752069850537, 1635.8660088446118, 2156.9141189102106]","[1095.48095703125, 2025.760986328125, 1335.3663330078125, 2126.35693359375]",,62.62935259404017
132,34.0,"[2244.4859508942436, 1637.2916947386652, 2984.727581312406, 2151.6228704767163]","[2508.828369140625, 2012.685791015625, 2736.374267578125, 2108.896728515625]",,40.90962823993408
132,1.0,"[2045.4926247955982, 1206.1427047839195, 2600.6970032189056, 1680.9327203062828]","[2226.8671875, 1491.968994140625, 2449.008544921875, 1582.5157470703125]",AP05JEO,235.47949919884545
133,6.0,"[831.969339712168, 1630.1400737903177, 1632.8779146380432, 2157.608782354863]","[1085.7545166015625, 2029.7332763671875, 1324.814453125, 2122.235107421875]",,39.93760242886599
133,34.0,"[2244.0412877034, 1643.6137967883387, 2985.3826820275267, 2152.255008972344]","[2515.295654296875, 2009.2672119140625, 2742.932861328125, 2114.585693359375]",LA13VCV,37.57008835729147
133,1.0,"[2045.157147445207, 1209.097968532086, 2603.556137842052, 1683.713899489416]","[2231.433349609375, 1499.7454833984375, 2422.339111328125, 1583.955322265625]",AP05JEO,33.841944126524496
133,1.0,"[2045.157147445207, 1209.097968532086, 2603.556137842052, 1683.713899489416]","[2287.292724609375, 1499.51220703125, 2463.834228515625, 1582.52783203125]",,0.0
0,5.0,"[2195.68017578125, 1157.049072265625, 2786.025390625, 1736.6319580078125]","[2407.13818359375, 1551.491455078125, 2576.4609375, 1638.703857421875]",NW51TSU,
0,3.0,"[752.2139892578125, 1369.3121337890625, 1429.3065185546875, 1984.0484619140625]","[974.8357543945312, 1753.40380859375, 1199.5994873046875, 1851.191650390625]",NA13NPU,
1,5.0,"[2201.052238605014, 1167.3780065078865, 2783.497281999558, 1739.9153114934222]","[2411.260986328125, 1549.034912109375, 2584.846435546875, 1642.219482421875]",NO51VSU,75.09349052889756
1,3.0,"[750.7361145427719, 1374.2024625071062, 1425.7285018189611, 1991.5582617331802]","[975.324462890625, 1765.396484375, 1203.47021484375, 1862.9620361328125]",,72.31267933825887
2,3.0,"[750.6694749482765, 1379.552506951147, 1431.87356967857, 2000.5612278175793]","[963.9210205078125, 1782.314697265625, 1187.0604248046875, 1872.4549560546875]",NA13NPU,84.17008276656273
2,5.0,"[2197.5957028133103, 1172.241980839855, 2786.3037259559055, 1750.1344765214176]","[2410.0546875, 1563.0362548828125, 2585.463134765625, 1653.6053466796875]",NU51VSU,81.52456962182308
3,3.0,"[743.0388549988108, 1386.4423322987493, 1430.0114346419084, 2011.7429265922885]","[956.3207397460938, 1785.892578125, 1184.3294677734375, 1879.5938720703125]",MA13NRU,110.23043971417691
3,5.0,"[2196.237044701261, 1175.8811670512769, 2788.19971762155, 1758.2530714932363]","[2411.900390625, 1565.6500244140625, 2584.382080078125, 1651.2459716796875]",,63.5582857590966
4,5.0,"[2190.9889598748896, 1176.1741112079055, 2790.610504324146, 1763.8227406862522]","[2416.611083984375, 1575.34326171875, 2587.66162109375, 1654.04638671875]",HL51NSU,35.17075008208634
4,3.0,"[736.3692296658314, 1392.150809551615, 1423.477119255589, 2020.836533448136]","[947.8341674804688, 1785.777099609375, 1190.2509765625, 1887.91552734375]",,107.1115208978097
5,5.0,"[2188.5811756610983, 1176.832557475576, 2794.577790433713, 1768.76239149237]","[2408.718505859375, 1582.39892578125, 2585.8759765625, 1661.4521484375]",,31.38080131586393
5,3.0,"[734.6443305624662, 1397.6586285537066, 1430.6788901070227, 2030.8298922993938]","[944.9208984375, 1790.5264892578125, 1191.167724609375, 1895.4466552734375]",,88.77748449258168
6,5.0,"[2193.018344759058, 1174.0382602423601, 2809.278880741993, 1773.5144678476995]","[2416.05615234375, 1588.1224365234375, 2590.812744140625, 1674.3482666015625]",,103.88593375960177
6,3.0,"[728.033891330218, 1403.8347660759928, 1424.2459449495868, 2040.4385285626036]","[942.6277465820312, 1802.425537109375, 1184.5889892578125, 1902.52490234375]",NA13NRU,110.57335152585803
7,5.0,"[2195.6626703968427, 1179.7501199965445, 2817.6061401458905, 1779.6307544322153]","[2413.68359375, 1588.5220947265625, 2587.294677734375, 1672.470458984375]",,87.11937738426822
7,3.0,"[724.5477326565015, 1407.5111350334555, 1425.3348225056538, 2052.715649576282]","[938.2731323242188, 1805.97802734375, 1185.6671142578125, 1911.028564453125]",,87.1160427207095
8,5.0,"[2194.873769293891, 1187.416633117047, 2821.9105542780662, 1787.4130095795674]","[2420.7509765625, 1596.2391357421875, 2590.49755859375, 1682.4385986328125]",,85.55605552139106
